Datetime,Tweet Id,Text,Username
2023-04-17 13:46:30+00:00,1647959722136403971,"@Aryan45_93 Let's be honest rohit's career is almost over the golden times were kohli, rohit, and shikhar carried our batting one time they failed and we lost but unfortunately it was the wc semis 😭 kl rahul was there instead of shikhar",Arulmani1Dr
2023-04-17 13:46:24+00:00,1647959700049125377,@SGCeption Kl rahul😌,Jashu0809
2023-04-17 13:43:26+00:00,1647958950317371396,@the_upadhyayji @klrahul #HappyBirthdayKLRahul,Guy24Sarcastic
2023-04-17 13:43:14+00:00,1647958900551954432,@the_upadhyayji @klrahul Check DM,Pawanar02106943
2023-04-17 13:42:39+00:00,1647958753495470084,"@the_upadhyayji @klrahul 🤩🔥
#HappyBirthdayKLRahul",Pawanar02106943
2023-04-17 13:42:32+00:00,1647958725129322503,@DadaXyz__ @klrahul https://t.co/fnMVeBNdHX,Mani_TwtzZ
2023-04-17 13:42:02+00:00,1647958598914572288,@NikhilPrince02 @klrahul Waiting For His Roar 🔥,TheMBSuraj
2023-04-17 13:41:59+00:00,1647958586167898113,@KingKalyan___ @klrahul #HappyBirthdayKLRahul,Pawanar02106943
2023-04-17 13:41:49+00:00,1647958545131016192,"A Very Happy Birthday @klrahul .

Fastest player to make century across the formats (20 inns🛐) #KLRahul 

#HappyBirthdayKLRahul https://t.co/50bDQQwA0W",the_upadhyayji
2023-04-17 13:41:36+00:00,1647958491183579141,@KLRahulTrends_ @klrahul #HappyBirthdayKLRahul,krs1646
2023-04-17 13:41:34+00:00,1647958481486630913,"Happy Birthday Anna @klrahul 😍

#HappyBirthdayKLRahul https://t.co/tFYaSDa7KH",NikhilPrince02
2023-04-17 13:41:33+00:00,1647958480400314368,@KLRahulTrends_ @klrahul #HappyBirthdayKLRahul,the_upadhyayji
2023-04-17 13:41:16+00:00,1647958407268413441,@Itz_Devahar @klrahul Apa loss aagidum 😣 https://t.co/S9YLGljFJM,DadaXyz__
2023-04-17 13:41:06+00:00,1647958365900009472,"#NewProfilePic
Kl rahulians , let's change ur DP to this CDP on the occasion of #klrahul𓃵  birthday. https://t.co/1xiScBmxOB",NBchowdary9999
2023-04-17 13:40:47+00:00,1647958285482627074,@DadaXyz__ @klrahul RCB👊💥,Itz_Devahar
2023-04-17 13:40:32+00:00,1647958223495004161,@Mani_TwtzZ @klrahul https://t.co/4sWBIyijfa,DadaXyz__
2023-04-17 13:40:03+00:00,1647958102560616448,@DadaXyz__ @klrahul 🤣🤣,Mani_TwtzZ
2023-04-17 13:39:56+00:00,1647958070037987328,#Happybirthdayklrahul have a great inning ahead 🎉🎂,KL01fan
2023-04-17 13:39:52+00:00,1647958056129695744,"#HappyBirthdayKLRahul 
@klrahul https://t.co/LvPtohHOrx",Captainsurya11
2023-04-17 13:39:51+00:00,1647958050681020416,@ManishK34322511 @LucknowIPL @klrahul @IPL @kunaalyaadav @klrahul  #HappyBirthdayKLRahul,akashkl1199
2023-04-17 13:39:37+00:00,1647957992518844416,@Itz_Devahar @klrahul Tdy yaar support nee,DadaXyz__
2023-04-17 13:39:29+00:00,1647957956384952322,"#HiddenSecretsInGita
गीता अध्याय 15 श्लोक 4 के अनुसार वह लोक कौन सा है जहाँ गए हुए साधक लौटकर इस संसार में नहीं आते अर्थात उनका पूर्ण मोक्ष हो जाता है?
जानने के लिए अवश्य पढ़ें पवित्र पुस्तक ज्ञान गंगा।
https://t.co/kL7IKgJIuS
@MadhuriDixit 
@klrahul https://t.co/zlciktx9ob",Urmila69055966
2023-04-17 13:39:17+00:00,1647957908313853954,@LordGod188 @klrahul @KLRahulTrends_ #HappyBirthdayKLRahul,Pawanar02106943
2023-04-17 13:39:17+00:00,1647957906506264576,"Here's The CDP To Celebrate Our Idol KL Rahul Birthday ❤

Wishing you lot of success and mental peace ✌️

Change Your DPs &amp; Mention @KLRahul in All Your Tweets 🔥

#HappyBirthdayKLRahul https://t.co/rN49ndwrAg",KingKalyan___
2023-04-17 13:38:36+00:00,1647957737303834626,@DadaXyz__ @klrahul 🥲🥲,Itz_Devahar
2023-04-17 13:38:25+00:00,1647957689341997056,@kurkureter @klrahul @LucknowIPL Thanks Sir,ShankerShinde4
2023-04-17 13:38:24+00:00,1647957685722316801,"#kl Rahul
Happy birthday 🎂🎂 my handsome Hero
Klass Rahul https://t.co/jyuJKuvZUh",ManishK34322511
2023-04-17 13:38:07+00:00,1647957615534817280,@Itz_Devahar @klrahul https://t.co/BaEk7F68G3,DadaXyz__
2023-04-17 13:37:36+00:00,1647957483556679680,@KLRahulTrends_ @klrahul #HappyBirthdayKLRahul,Pawanar02106943
